"timestamp","ntnx-ahv01","ntnx-ahv02","ntnx-ahv03"
"2024/05/25 15:58:30","211823","189462","176663"
"2024/05/25 15:59:00","196652","215936","203639"
"2024/05/25 15:59:30","175684","153475","172385"
"2024/05/25 16:00:00","281321","390196","305919"
"2024/05/25 16:00:30","295066","215458","194758"
"2024/05/25 16:01:00","316980","290569","350213"
"2024/05/25 16:01:30","164628","143903","177323"
"2024/05/25 16:02:00","216999","208671","228456"
"2024/05/25 16:02:30","212539","161238","168746"
"2024/05/25 16:03:00","194532","230043","203899"
"2024/05/25 16:03:30","158288","173775","144296"
"2024/05/25 16:04:00","186887","252034","249440"
"2024/05/25 16:04:30","226113","210724","191962"
"2024/05/25 16:05:00","216242","296987","236665"
"2024/05/25 16:05:30","213568","184873","143195"
"2024/05/25 16:06:00","205797","276567","314619"
"2024/05/25 16:06:30","201149","212550","184187"
"2024/05/25 16:07:00","316524","285568","247722"
"2024/05/25 16:07:30","166044","173003","144805"
"2024/05/25 16:08:00","195496","313299","244205"
"2024/05/25 16:08:30","187471","217364","187899"
"2024/05/25 16:09:00","225506","232320","212013"
"2024/05/25 16:09:30","174834","159683","135851"
"2024/05/25 16:10:00","211972","338963","267439"
"2024/05/25 16:10:30","222955","194103","165295"
"2024/05/25 16:11:00","237393","233662","270906"
"2024/05/25 16:11:30","170149","172911","156063"
"2024/05/25 16:12:00","257912","260212","250019"
"2024/05/25 16:12:30","213430","235959","216304"
"2024/05/25 16:13:00","234227","268463","211456"
"2024/05/25 16:13:30","150860","154234","135542"
"2024/05/25 16:14:00","198270","224648","248960"
"2024/05/25 16:14:30","172555","262591","169768"
"2024/05/25 16:15:00","254357","303431","233532"
"2024/05/25 16:15:30","206538","158368","138669"
"2024/05/25 16:16:00","204779","231237","272604"
"2024/05/25 16:16:30","199332","261980","238023"
"2024/05/25 16:17:00","254925","223399","202555"
"2024/05/25 16:17:30","156096","152185","130766"
"2024/05/25 16:18:00","210179","283026","216820"
"2024/05/25 16:18:30","162320","206222","186748"
"2024/05/25 16:19:00","234373","234481","236438"
"2024/05/25 16:19:30","202620","187164","167504"
"2024/05/25 16:20:00","220266","311308","246836"
"2024/05/25 16:20:30","239159","245973","231760"
"2024/05/25 16:21:00","227304","257232","283419"
"2024/05/25 16:21:30","184359","171122","149913"
"2024/05/25 16:22:00","236185","260277","243236"
"2024/05/25 16:22:30","187450","216411","192804"
"2024/05/25 16:23:00","199594","258559","210200"
"2024/05/25 16:23:30","176366","154647","130903"
"2024/05/25 16:24:00","210238","228375","225737"
"2024/05/25 16:24:30","182919","218946","209411"
"2024/05/25 16:25:00","223975","316366","239532"
"2024/05/25 16:25:30","238976","150729","127007"
"2024/05/25 16:26:00","210174","238894","274293"
"2024/05/25 16:26:30","180931","187551","201063"
"2024/05/25 16:27:00","215521","269666","219480"
"2024/05/25 16:27:30","188588","153428","131020"
"2024/05/25 16:28:00","200169","281154","207781"
"2024/05/25 16:28:30","182726","195572","208732"
"2024/05/25 16:29:00","201412","258892","210266"
"2024/05/25 16:29:30","196768","144750","126003"
"2024/05/25 16:30:00","251401","401507","271932"
"2024/05/25 16:30:30","214778","177308","167702"
"2024/05/25 16:31:00","209383","267120","296886"
"2024/05/25 16:31:30","281503","206804","192608"
"2024/05/25 16:32:00","236880","261782","232790"
"2024/05/25 16:32:30","183419","199691","176282"
"2024/05/25 16:33:00","206498","291814","249120"
"2024/05/25 16:33:30","170712","147501","122853"
"2024/05/25 16:34:00","256444","224679","222956"
"2024/05/25 16:34:30","163524","172172","148636"
"2024/05/25 16:35:00","236296","348613","288102"
"2024/05/25 16:35:30","246912","173576","177811"
"2024/05/25 16:36:00","218386","257569","293705"
"2024/05/25 16:36:30","174174","208262","174152"
"2024/05/25 16:37:00","288651","280541","288863"
"2024/05/25 16:37:30","162832","173342","146156"
"2024/05/25 16:38:00","244898","272640","214819"
"2024/05/25 16:38:30","156947","173029","149129"
"2024/05/25 16:39:00","208361","224235","261792"
"2024/05/25 16:39:30","164126","180896","124225"
"2024/05/25 16:40:00","267543","296588","241081"
"2024/05/25 16:40:30","229020","202665","178030"
"2024/05/25 16:41:00","231736","234269","307569"
"2024/05/25 16:41:30","138449","200937","124272"
"2024/05/25 16:42:00","276280","248702","238500"
"2024/05/25 16:42:30","163764","173382","161336"
"2024/05/25 16:43:00","205830","258525","245762"
"2024/05/25 16:43:30","136256","187518","120119"
"2024/05/25 16:44:00","240207","226926","226244"
"2024/05/25 16:44:30","177692","196475","166856"
"2024/05/25 16:45:00","233331","309300","251362"
"2024/05/25 16:45:30","195287","184867","148715"
"2024/05/25 16:46:00","243868","238496","285533"
"2024/05/25 16:46:30","156265","177366","146767"
"2024/05/25 16:47:00","233998","250932","231324"
"2024/05/25 16:47:30","152796","179965","155378"
"2024/05/25 16:48:00","238023","274783","215157"
"2024/05/25 16:48:30","172919","203072","171529"
"2024/05/25 16:49:00","230040","230076","238649"
"2024/05/25 16:49:30","178943","195871","161554"
"2024/05/25 16:50:00","228873","307988","240374"
"2024/05/25 16:50:30","278693","179247","205023"
"2024/05/25 16:51:00","244299","277748","365191"
"2024/05/25 16:51:30","141680","186703","156569"
"2024/05/25 16:52:00","237820","247876","232461"
"2024/05/25 16:52:30","214273","201183","235436"
"2024/05/25 16:53:00","208876","260012","214657"
"2024/05/25 16:53:30","137921","169572","153505"
"2024/05/25 16:54:00","210533","243805","229905"
"2024/05/25 16:54:30","194230","170792","146256"
"2024/05/25 16:55:00","234113","310328","243322"
"2024/05/25 16:55:30","199257","151520","160669"
"2024/05/25 16:56:00","216607","271849","277838"
"2024/05/25 16:56:30","213512","207323","177348"
"2024/05/25 16:57:00","243094","243662","237744"
"2024/05/25 16:57:30","148707","154467","159847"
"2024/05/25 16:58:00","207085","309692","212983"
"2024/05/25 16:58:30","186973","182876","144076"
"2024/05/25 16:59:00","205639","227202","212217"
"2024/05/25 16:59:30","185867","144084","164114"
"2024/05/25 17:00:00","290678","410057","322768"
"2024/05/25 17:00:30","288990","200537","172600"
"2024/05/25 17:01:00","221012","243160","383682"
"2024/05/25 17:01:30","139928","148133","213042"
"2024/05/25 17:02:00","325521","302769","374066"
"2024/05/25 17:02:30","225199","226330","164419"
"2024/05/25 17:03:00","209806","272556","212254"
"2024/05/25 17:03:30","249631","168765","161143"
"2024/05/25 17:04:00","290971","268116","257956"
"2024/05/25 17:04:30","222288","298107","176388"
"2024/05/25 17:05:00","265616","405930","243104"
"2024/05/25 17:05:30","197774","176825","123840"
"2024/05/25 17:06:00","216882","242618","326912"
"2024/05/25 17:06:30","160082","218771","146315"
"2024/05/25 17:07:00","353613","272168","250164"
"2024/05/25 17:07:30","164921","165822","142200"
"2024/05/25 17:08:00","212435","278101","246734"
"2024/05/25 17:08:30","172349","230102","169697"
"2024/05/25 17:09:00","234489","232626","213190"
"2024/05/25 17:09:30","181043","147001","123054"
"2024/05/25 17:10:00","233593","297036","276774"
"2024/05/25 17:10:30","219594","215273","154333"
"2024/05/25 17:11:00","248170","234380","282258"
"2024/05/25 17:11:30","140251","150792","123069"
"2024/05/25 17:12:00","231687","232295","237830"
"2024/05/25 17:12:30","195002","243089","212950"
"2024/05/25 17:13:00","240763","263451","216475"
"2024/05/25 17:13:30","141345","154591","121416"
"2024/05/25 17:14:00","206794","225120","230188"
"2024/05/25 17:14:30","166947","259677","182275"
"2024/05/25 17:15:00","264543","305494","243434"
"2024/05/25 17:15:30","202808","151606","127099"
"2024/05/25 17:16:00","213546","234891","280526"
"2024/05/25 17:16:30","178048","238016","204319"
"2024/05/25 17:17:00","225007","230131","219879"
"2024/05/25 17:17:30","200913","162263","135590"
"2024/05/25 17:18:00","220307","282735","220287"
"2024/05/25 17:18:30","158385","204048","177901"
"2024/05/25 17:19:00","208301","221225","212891"
"2024/05/25 17:19:30","192462","144199","119040"
"2024/05/25 17:20:00","228403","300439","238283"
"2024/05/25 17:20:30","229570","204128","205683"
"2024/05/25 17:21:00","212623","265042","277185"
"2024/05/25 17:21:30","173094","151040","125894"
